500 5000
16 393 2
432 4 43
140 455 4
427 360 67
310 452 3
409 471 68
5 300 66
196 32 40
408 73 5
126 18 1
249 330 88
96 306 16
245 189 77
71 104 51
302 145 53
25 116 32
102 427 56
84 345 4
38 156 24
343 307 38
497 161 3
336 193 21
285 444 76
81 374 59
164 381 14
72 110 67
262 130 51
460 159 54
464 206 82
142 390 1
122 129 10
500 477 28
371 153 38
247 80 26
342 267 41
234 429 100
249 478 31
426 125 91
340 118 83
197 451 27
414 340 91
322 362 38
174 476 19
259 395 53
63 411 61
325 74 99
313 92 27
407 2 35
238 272 4
496 138 89
119 201 17
4 187 63
96 497 70
50 107 91
264 390 77
227 82 45
225 218 79
20 269 51
16 268 87
337 366 20
247 16 97
342 9 15
31 442 66
326 379 56
147 168 39
246 428 63
231 352 25
310 67 5
230 188 98
263 31 20
267 452 44
356 87 2
176 138 20
219 120 43
500 386 59
133 37 24
348 42 45
201 336 60
156 256 65
312 394 15
159 19 80
457 82 71
486 74 4
259 301 23
159 161 15
414 396 85
23 254 19
288 127 54
346 354 40
94 116 39
450 1 39
127 89 52
229 109 49
38 439 5
229 104 55
93 99 95
375 442 45
175 439 17
349 357 65
189 208 86
359 229 25
161 325 52
60 119 80
210 57 51
226 218 40
408 425 17
398 353 41
73 7 70
470 94 61
340 363 8
435 477 82
121 135 78
406 266 92
343 331 50
396 96 96
229 456 43
24 292 53
247 15 61
292 372 29
446 40 49
12 419 4
418 333 89
309 308 28
348 426 3
403 64 50
250 117 24
223 109 35
486 381 91
133 36 86
285 134 75
423 75 62
314 212 26
71 228 28
301 475 85
82 480 81
424 402 34
156 369 25
76 451 52
294 162 2
33 402 61
313 459 46
115 124 48
387 206 85
4 108 70
319 173 50
172 468 85
337 273 39
337 318 98
317 389 6
111 185 69
486 280 49
359 416 92
492 378 65
47 20 32
42 94 51
58 15 91
231 366 58
485 415 3
40 263 90
163 499 91
134 115 5
9 274 16
332 50 70
365 359 80
11 2 41
171 426 27
195 324 67
114 182 9
397 81 77
132 310 44
324 235 98
3 159 88
37 475 13
141 125 5
89 300 25
360 370 37
370 348 53
240 239 29
107 160 57
130 226 83
407 156 40
159 66 13
391 315 40
357 386 54
282 424 25
135 228 49
295 495 40
402 137 33
55 136 77
261 155 91
114 151 59
489 338 44
37 307 33
32 133 81
349 341 18
47 218 42
166 131 46
143 434 20
11 319 23
204 77 44
486 239 23
273 291 66
434 298 65
64 181 10
150 494 70
29 56 9
483 18 21
147 297 49
221 109 69
377 152 92
1 210 69
274 467 1
166 406 98
3 481 44
195 86 39
38 49 87
141 201 39
81 267 57
107 62 45
68 198 95
345 272 47
342 474 70
281 174 95
215 318 44
408 151 95
336 285 27
334 307 69
170 247 81
224 390 49
229 243 86
498 392 40
119 463 80
152 471 82
441 114 10
28 439 48
130 456 70
189 40 73
358 53 1
117 322 65
373 106 52
8 409 23
217 73 16
78 13 80
498 60 52
335 297 25
171 465 49
385 330 31
451 8 15
362 14 42
432 412 33
137 346 38
80 184 5
439 327 80
492 480 51
296 249 4
468 48 14
257 479 70
142 202 10
315 152 79
347 371 3
320 429 37
236 249 88
325 332 77
320 368 74
453 324 51
446 20 29
90 266 99
231 28 59
70 163 44
373 375 29
344 104 32
416 293 12
73 124 45
160 18 88
228 304 95
331 499 60
31 155 38
464 64 91
181 391 12
252 193 52
481 69 16
10 394 82
63 498 53
125 377 66
294 233 31
63 12 36
304 456 41
254 415 76
424 410 45
401 142 41
417 37 85
128 222 37
206 115 13
124 113 91
345 343 3
242 435 60
253 5 70
95 342 4
427 137 23
242 392 71
339 418 24
478 181 75
171 290 63
471 131 71
265 133 48
291 465 87
447 377 37
202 331 42
190 230 60
278 69 20
338 99 28
151 343 39
23 19 8
432 439 55
465 499 83
185 130 73
2 494 80
306 56 58
234 112 46
34 121 50
445 200 74
356 249 5
340 337 79
32 426 54
5 59 66
237 25 70
98 53 39
80 391 50
343 267 29
350 119 47
30 137 79
153 440 25
6 488 91
377 39 97
272 490 31
394 237 97
396 168 11
419 499 42
134 179 1
35 108 61
183 177 17
128 248 64
8 210 96
13 284 86
476 482 53
357 155 43
450 372 15
28 222 59
157 108 79
443 480 78
335 291 27
398 19 55
96 497 68
121 491 48
438 164 94
218 15 67
147 240 63
121 394 10
11 176 82
233 166 48
127 374 89
34 61 100
394 321 64
87 464 5
100 307 51
262 481 55
236 281 98
447 500 30
495 362 45
310 225 21
287 74 81
81 318 7
440 90 12
205 230 15
137 414 55
351 480 3
417 83 86
261 119 58
152 23 71
256 101 32
39 323 95
475 185 26
172 326 63
147 183 5
75 212 68
363 76 28
370 349 11
485 472 37
218 137 23
214 7 26
217 136 46
383 198 90
167 449 67
274 254 40
128 365 20
435 233 83
356 121 20
192 202 87
10 238 8
30 357 76
413 150 91
60 390 37
188 206 4
193 399 43
466 86 28
200 189 28
321 57 37
91 57 99
371 322 65
427 376 84
238 52 23
439 158 96
302 348 81
461 283 63
95 348 20
311 257 33
366 65 18
228 6 31
249 68 17
191 102 90
204 463 96
100 377 65
73 29 88
391 309 7
109 418 96
428 425 53
74 25 64
295 498 25
481 9 29
114 23 35
284 125 80
16 168 76
176 276 6
144 369 3
499 320 15
473 470 67
388 493 97
113 189 65
332 282 91
310 8 34
220 377 83
94 49 96
248 35 67
55 397 50
207 407 43
342 90 83
467 204 67
219 294 74
90 177 66
379 204 72
64 221 69
482 237 99
171 175 9
365 452 20
169 265 23
13 133 34
68 114 62
278 84 16
439 323 11
355 107 1
81 434 23
239 180 62
482 438 48
391 473 53
391 379 15
209 159 4
207 384 67
117 286 61
367 328 11
173 357 21
174 426 19
486 231 99
313 288 23
115 470 90
89 381 76
411 321 79
327 246 8
369 422 83
351 144 8
306 186 97
325 345 19
482 458 48
47 194 30
83 435 66
124 487 74
113 349 70
200 471 43
150 260 25
335 56 88
85 300 57
169 76 80
467 30 61
188 462 2
386 354 89
345 308 62
176 352 36
38 378 67
144 286 9
323 457 55
321 105 43
118 306 64
92 430 64
447 165 48
445 172 34
487 40 59
421 361 94
288 80 94
436 109 91
128 314 63
38 72 9
38 211 18
64 303 52
103 250 60
495 239 13
227 138 66
404 393 3
5 302 11
97 46 63
466 101 88
279 269 70
215 110 75
191 282 87
434 64 23
266 286 38
63 237 21
394 346 49
471 90 35
167 161 89
483 264 19
398 205 71
145 64 87
195 105 46
85 171 3
454 25 21
275 410 96
84 348 75
232 182 78
10 302 12
451 274 31
462 151 8
456 323 60
47 168 53
330 227 7
145 397 91
214 20 31
213 337 23
65 222 56
144 496 52
436 225 66
126 155 62
302 357 31
388 260 47
422 416 11
496 360 31
422 431 93
69 89 40
157 188 79
87 365 98
239 84 26
274 424 71
370 131 66
493 94 79
28 82 18
285 396 43
108 75 45
39 327 48
70 434 16
403 295 92
350 53 27
303 246 9
414 170 47
202 438 100
356 325 70
475 422 19
268 13 56
496 247 50
402 485 62
376 63 27
388 409 37
219 95 1
91 27 99
133 370 70
208 103 2
462 97 41
117 104 59
203 220 17
238 128 66
126 249 48
91 368 70
77 420 19
463 448 25
70 371 96
236 248 74
385 104 94
145 282 75
227 347 92
8 480 51
66 133 18
71 447 10
365 180 4
464 243 46
205 421 63
307 68 95
181 223 91
60 221 97
179 482 83
102 400 92
264 327 12
390 469 22
165 243 36
420 256 82
205 194 81
232 58 70
415 327 13
384 90 28
120 253 53
187 160 78
308 47 26
2 378 85
258 135 74
324 456 77
68 198 73
102 18 58
96 427 30
318 498 97
99 443 6
429 20 48
327 305 90
165 435 98
252 193 25
57 127 40
421 201 73
398 283 20
281 499 83
67 219 59
67 293 36
117 382 90
348 239 6
218 112 8
331 334 45
478 170 6
248 149 71
311 431 51
59 62 3
353 87 84
496 144 88
343 332 90
221 32 46
78 103 28
131 55 96
420 84 15
346 140 10
25 116 76
277 430 20
201 366 68
356 180 5
359 314 89
398 408 81
301 260 50
293 202 41
145 185 32
107 210 30
393 493 66
231 173 63
255 202 53
315 98 2
125 301 38
350 464 28
430 328 17
98 289 56
478 267 32
349 70 93
176 40 11
491 278 6
499 90 35
371 337 79
21 209 14
11 195 32
119 432 33
345 160 83
450 418 70
464 328 69
43 198 71
55 110 62
86 304 72
470 481 92
172 330 34
477 473 61
328 238 2
348 459 4
48 308 69
28 435 92
491 458 86
379 282 89
304 417 83
93 289 10
140 127 15
248 417 41
475 110 90
304 1 4
270 162 32
474 5 22
192 127 30
114 381 100
160 96 72
100 404 49
101 68 23
426 347 76
95 63 96
425 261 61
474 274 79
443 248 27
420 120 60
111 53 54
47 392 92
184 100 82
291 192 81
155 319 8
311 130 97
124 43 25
93 294 59
129 309 9
38 270 21
297 203 2
262 46 34
368 141 57
221 143 39
244 435 49
181 106 30
330 172 67
424 395 96
32 26 39
308 256 38
385 471 18
434 283 14
379 192 45
189 432 7
59 246 8
479 389 96
463 305 48
353 58 12
226 274 85
476 1 71
73 128 34
57 250 96
482 463 82
284 37 7
164 331 74
407 437 52
220 19 90
356 54 68
174 53 31
139 390 62
151 110 10
136 220 25
169 425 13
79 134 84
257 244 16
9 442 26
93 159 100
37 143 31
308 189 17
468 395 15
445 30 16
82 127 20
451 113 62
150 293 68
377 480 40
356 294 44
194 360 9
36 490 92
243 237 99
198 97 89
480 131 52
430 251 34
252 376 77
345 380 17
5 17 72
119 64 31
175 465 35
162 491 60
447 349 86
450 264 72
158 304 47
260 52 28
41 417 89
80 440 36
51 20 15
284 226 91
270 354 15
341 55 15
440 499 35
283 177 47
277 168 73
142 372 84
460 87 5
285 255 79
226 48 54
80 289 46
255 366 33
14 387 12
489 268 57
456 123 76
224 313 77
156 254 27
266 40 59
389 423 41
390 464 75
490 280 63
272 353 29
187 219 6
341 474 66
79 402 89
351 355 11
350 15 64
158 319 42
359 195 32
345 173 44
484 53 86
295 20 23
80 342 27
359 184 39
128 34 83
244 498 30
388 54 4
49 17 4
341 258 30
51 107 71
186 431 6
52 248 36
86 61 59
407 267 80
484 111 17
346 325 99
188 224 57
450 320 50
84 194 7
205 29 83
69 374 80
235 12 38
181 349 4
229 54 33
480 411 25
415 250 38
339 231 71
109 490 11
37 404 70
196 296 67
228 244 17
180 327 58
494 331 14
408 418 62
309 302 4
469 345 91
499 220 15
409 307 96
358 370 20
15 18 98
34 374 13
463 55 54
328 442 16
239 369 71
230 29 84
54 28 86
39 362 87
121 423 57
371 271 11
237 299 93
117 296 4
392 252 76
329 312 37
163 268 25
474 79 100
87 183 22
155 490 13
1 381 7
84 491 58
146 431 100
490 313 63
242 453 22
100 440 24
486 474 9
272 494 61
445 371 26
440 220 79
332 71 83
269 344 60
337 77 78
138 96 73
441 440 97
187 364 2
29 58 1
168 497 100
442 100 1
441 371 83
404 470 63
136 260 31
123 83 52
21 20 89
462 496 87
132 175 11
449 72 73
186 280 64
159 17 74
125 239 86
43 483 55
11 257 22
395 74 90
264 39 22
76 29 16
158 139 7
298 267 71
260 216 88
167 173 83
249 16 33
280 61 46
334 325 97
5 170 93
141 137 79
113 174 62
235 76 4
50 76 38
182 460 42
295 86 22
312 391 35
353 124 14
115 469 35
270 51 7
37 474 95
179 314 96
403 250 62
60 417 14
255 333 97
381 383 4
377 442 19
88 468 71
164 421 75
333 448 62
168 190 95
378 279 8
369 413 18
398 405 35
437 346 100
177 96 68
142 403 67
169 67 83
169 226 78
32 271 46
253 18 23
448 198 16
4 366 70
425 180 37
312 225 38
269 56 41
479 377 76
401 482 29
390 456 22
229 476 84
437 369 88
238 362 65
166 6 100
32 201 70
358 119 75
298 332 49
181 467 89
238 372 72
108 99 5
497 133 80
448 328 85
298 385 36
189 248 67
90 410 97
286 296 74
97 485 69
386 158 12
170 484 28
347 217 92
57 81 84
466 4 18
116 493 87
13 319 98
93 416 17
417 192 51
391 462 74
356 90 95
261 309 25
32 388 53
269 75 81
126 94 34
363 217 15
166 126 52
479 298 23
148 219 2
481 277 87
262 192 91
40 352 4
135 451 33
278 406 15
94 425 32
358 471 80
422 404 8
141 500 25
192 368 99
86 143 14
413 186 44
493 37 1
180 412 25
465 423 58
180 340 95
244 126 59
409 456 52
129 28 6
461 279 91
42 370 93
452 387 29
241 254 42
120 372 96
264 109 78
109 337 18
384 431 100
495 147 19
55 247 67
166 10 91
311 470 5
370 58 91
336 72 79
327 334 97
61 27 33
26 330 52
69 340 36
390 29 37
284 30 56
5 55 13
152 324 68
2 487 50
410 162 73
53 332 13
466 250 78
28 404 97
429 46 52
256 171 77
188 11 95
195 491 3
84 122 15
340 25 19
307 132 67
498 107 51
160 368 50
117 216 67
273 459 11
86 96 13
340 124 44
104 115 38
267 79 3
220 165 57
346 247 79
98 494 14
379 191 38
475 160 23
112 212 81
463 302 58
24 378 26
248 112 9
22 202 17
327 466 35
283 265 46
87 397 68
82 274 15
484 331 85
330 187 7
58 327 45
229 290 92
153 373 67
138 168 79
295 473 87
49 123 64
442 499 75
124 449 49
6 177 7
361 425 73
92 390 60
47 183 67
226 461 39
275 361 10
90 261 20
325 420 68
335 251 8
29 175 90
105 171 84
488 277 33
325 307 87
322 437 8
49 403 9
94 421 45
308 106 12
389 296 71
12 79 82
403 413 31
333 372 44
420 252 59
108 202 88
247 305 3
353 26 72
169 417 47
288 75 26
60 437 69
413 188 2
492 171 55
96 499 7
203 122 83
271 123 69
77 450 19
186 302 8
251 102 95
499 63 30
129 69 78
423 93 61
268 281 3
406 385 58
372 197 3
350 414 64
301 241 9
466 117 88
12 4 9
215 381 28
135 128 34
474 239 58
39 7 27
66 152 61
379 24 63
249 442 28
218 175 51
404 221 100
462 1 85
160 367 7
460 206 71
3 291 66
146 432 71
191 146 86
101 10 93
489 124 78
245 376 41
179 330 89
286 302 6
402 31 52
136 219 41
15 394 5
78 55 45
96 310 69
273 307 44
48 203 5
323 129 9
250 320 42
335 158 91
331 47 12
94 184 62
323 160 94
103 415 50
228 332 62
64 137 46
179 265 44
153 181 83
459 30 16
397 140 17
155 332 28
263 133 25
211 434 24
112 443 85
332 339 83
406 15 72
247 28 76
119 338 68
108 229 19
46 177 87
192 92 79
243 238 63
361 39 43
248 384 98
11 38 42
277 13 41
110 50 90
266 178 67
117 60 30
67 423 2
431 159 10
493 33 98
483 409 37
313 132 21
311 161 60
295 449 17
486 207 34
436 358 84
228 217 15
442 189 41
285 247 4
106 7 21
449 372 59
241 129 60
426 230 2
196 161 59
357 220 86
424 320 41
140 176 50
220 308 13
431 239 70
431 204 69
246 303 33
36 153 8
156 85 13
37 299 8
26 50 36
346 11 52
86 463 31
3 97 50
498 94 18
42 176 71
223 242 38
16 480 92
390 319 90
140 342 10
202 440 49
68 409 78
437 103 52
1 305 57
57 1 6
136 361 100
425 486 2
487 115 21
384 105 59
77 183 72
310 385 6
212 17 36
335 480 7
392 145 30
280 386 64
90 275 49
484 143 6
452 498 44
47 38 27
455 436 54
295 94 16
479 264 58
323 445 31
46 71 62
382 148 89
83 124 6
43 389 10
489 266 92
225 168 46
131 341 31
43 146 32
251 150 42
212 332 31
302 356 100
439 400 51
305 243 17
144 480 91
384 283 94
269 238 43
417 391 17
272 170 81
211 205 5
287 198 51
11 254 33
18 245 16
121 475 21
354 255 54
317 481 19
174 186 33
423 203 57
217 150 22
139 16 86
377 272 67
47 382 10
76 205 86
231 422 95
97 191 44
173 46 38
234 436 72
100 460 31
199 225 55
371 296 37
423 219 52
126 360 50
383 103 47
27 485 80
411 394 76
380 370 68
163 375 31
302 200 48
10 141 12
229 197 31
161 412 34
38 165 26
385 170 65
204 465 16
6 354 61
134 337 100
55 122 5
480 474 61
260 486 12
331 430 26
379 260 54
11 388 40
121 306 78
453 241 3
96 152 22
462 38 92
117 347 69
81 184 57
367 209 79
177 47 1
389 391 31
44 70 47
291 466 98
403 365 11
350 195 29
101 145 36
240 42 100
45 153 82
193 459 90
264 404 7
245 267 78
373 412 31
382 489 56
66 499 26
110 80 63
50 498 52
300 371 54
360 277 73
401 282 47
303 358 2
279 299 79
196 142 73
98 99 25
458 19 54
130 35 36
488 287 82
474 373 6
274 221 63
444 53 21
448 392 3
288 164 63
497 279 69
177 447 28
38 107 9
45 140 52
474 380 30
204 284 93
376 388 74
305 260 19
343 455 45
323 346 66
16 370 97
411 351 19
26 456 80
450 433 98
153 307 69
263 483 39
442 425 48
469 336 96
18 74 22
72 118 42
380 375 10
84 208 1
396 390 27
274 350 57
331 474 80
94 47 4
330 333 100
490 55 3
199 203 78
155 188 33
32 99 95
317 64 89
492 410 91
355 433 55
85 79 54
84 136 40
46 99 41
153 416 44
169 170 82
139 315 82
40 366 87
384 378 34
141 391 19
357 288 52
479 160 84
31 205 66
311 480 69
124 201 90
87 5 15
101 330 65
300 150 21
496 322 3
13 249 69
293 315 73
201 89 54
430 460 77
71 294 15
109 185 51
284 296 21
357 93 91
128 94 69
294 155 26
304 431 57
240 99 78
140 479 47
348 88 48
219 98 17
255 242 79
178 17 60
261 199 18
120 46 13
86 181 48
306 106 27
130 175 38
331 281 73
243 251 30
166 443 2
192 251 5
315 489 57
30 168 33
43 10 69
336 485 77
347 25 64
130 351 25
29 229 39
306 25 94
429 159 31
257 65 3
201 277 53
53 143 89
349 296 60
415 487 66
112 93 65
208 399 24
65 110 30
306 196 98
396 319 85
193 414 85
390 56 26
461 463 93
354 328 27
364 232 64
85 214 2
43 135 94
353 297 83
27 330 42
259 37 80
296 26 37
145 454 61
397 94 61
394 105 64
419 296 3
364 40 91
236 106 42
105 283 17
35 87 67
416 459 45
485 190 22
374 315 29
88 473 94
401 338 11
385 304 35
197 207 31
205 277 83
154 40 97
89 303 6
453 401 42
172 355 20
163 371 63
273 206 29
95 474 18
267 77 5
108 35 33
83 385 31
207 355 50
291 400 31
292 57 79
45 214 94
201 271 8
158 392 39
126 174 61
147 77 47
110 297 11
485 454 18
333 291 4
239 300 78
394 345 83
421 33 88
62 214 60
148 288 4
104 331 81
475 278 65
314 140 38
293 222 60
325 448 80
106 372 71
111 60 73
447 207 11
343 279 82
359 458 72
351 86 39
245 476 46
161 283 86
136 95 61
223 107 29
220 235 92
120 147 42
206 390 35
438 217 61
69 263 96
422 433 16
121 149 3
479 341 44
362 437 58
475 189 53
358 241 32
262 3 54
171 179 45
314 248 27
265 313 30
99 197 83
325 28 86
467 172 63
7 217 50
118 279 97
140 300 50
4 336 23
321 194 28
276 420 37
46 67 21
37 68 65
419 369 63
186 409 35
187 378 48
287 286 56
178 459 85
321 63 49
81 51 42
227 247 46
52 12 99
357 230 1
479 224 69
236 489 88
46 284 85
180 124 57
434 4 9
397 174 42
457 203 100
419 332 42
389 283 3
213 138 33
102 71 11
317 146 27
24 401 82
424 301 88
492 171 52
455 91 66
418 168 56
49 339 70
190 66 21
253 140 57
443 124 55
172 37 78
367 434 19
316 242 81
445 382 90
15 318 96
94 44 100
59 274 37
324 208 74
263 92 21
85 485 16
201 434 14
498 117 91
103 437 23
481 2 30
237 448 52
25 207 48
441 270 7
63 345 88
404 32 94
276 150 14
124 146 60
231 23 85
327 387 40
390 188 25
228 367 53
380 223 85
138 139 35
141 96 85
51 334 100
17 85 78
347 258 26
35 199 98
486 472 22
228 173 45
322 30 12
226 207 71
189 480 42
357 378 77
95 410 85
420 312 1
361 148 67
365 492 19
315 50 94
149 122 59
362 498 42
48 279 8
256 270 94
56 62 61
140 480 67
18 405 57
145 480 72
334 423 98
25 402 85
61 73 78
349 238 54
149 228 85
414 386 46
8 155 86
452 236 73
155 11 30
37 364 53
55 126 28
74 109 69
250 466 63
219 120 52
433 287 8
136 131 37
491 86 65
33 430 2
355 261 37
52 74 47
329 3 38
244 477 49
203 102 68
372 185 61
351 55 28
36 191 51
199 417 85
111 41 88
364 463 39
311 40 91
406 479 16
137 251 20
237 371 88
289 156 26
316 420 49
196 303 12
166 9 97
480 44 77
223 405 25
412 109 40
238 467 89
256 227 17
105 455 64
56 165 64
1 169 34
345 488 34
473 287 40
405 129 50
63 56 83
283 402 72
130 194 99
371 3 41
171 334 78
102 11 81
486 251 35
409 279 83
435 70 58
201 357 53
302 323 46
456 234 47
18 350 68
222 92 20
104 84 18
24 104 88
395 336 47
182 126 65
327 459 17
416 18 54
403 349 4
448 495 53
256 64 19
106 298 39
436 324 48
493 376 100
12 59 8
243 281 73
455 114 10
476 44 36
140 278 17
493 26 39
486 108 49
117 131 35
494 71 83
186 62 90
56 364 66
482 386 81
58 207 26
350 338 47
374 172 45
135 234 85
78 65 48
468 218 89
16 138 21
362 454 11
93 1 14
438 261 24
243 25 88
211 119 56
301 110 62
437 179 48
12 221 37
21 176 93
105 314 79
260 34 54
174 195 31
281 76 52
246 446 31
460 367 27
135 368 89
484 345 18
457 250 6
120 178 14
481 144 29
76 212 35
264 137 44
146 6 53
199 487 65
332 219 87
453 462 59
181 194 13
285 360 83
88 350 49
93 129 29
8 439 96
405 187 47
37 351 50
329 457 28
352 206 5
9 466 51
449 196 70
258 424 43
376 26 94
313 258 99
125 90 95
379 89 90
382 291 33
242 28 97
429 398 44
182 152 85
444 251 19
182 204 49
301 156 94
421 39 52
267 380 7
172 23 67
27 437 89
480 37 1
416 238 23
311 399 15
395 492 23
364 28 18
418 285 36
233 238 91
259 275 31
134 266 91
472 232 83
75 312 55
421 480 63
249 85 65
96 63 66
167 46 17
422 20 53
75 222 89
37 440 77
104 185 9
336 443 26
350 408 95
97 414 40
88 22 35
340 59 8
181 93 95
83 274 22
350 206 11
336 189 13
283 470 47
168 365 24
374 8 34
244 174 39
244 74 23
394 448 75
315 128 44
441 256 27
61 391 68
264 395 89
357 272 8
185 482 88
416 102 56
436 71 79
274 277 67
318 226 90
272 382 81
479 307 34
377 51 2
370 373 9
455 131 14
226 122 25
79 99 25
44 123 26
330 259 13
289 407 74
153 31 73
276 327 72
260 305 15
220 270 100
349 319 71
369 66 43
423 228 8
141 391 39
79 179 19
143 316 89
255 156 31
282 259 24
278 48 31
265 439 3
122 179 49
213 194 48
227 53 48
166 106 72
50 305 95
82 239 58
28 261 30
89 174 31
153 276 10
493 433 15
461 228 22
11 348 40
32 124 24
213 170 34
495 137 67
22 109 95
315 131 14
332 73 21
370 422 63
39 179 27
152 409 9
334 201 57
170 188 29
202 225 1
69 230 55
3 234 76
261 361 54
123 14 39
350 6 78
440 151 43
122 341 62
83 91 56
448 373 47
104 322 64
377 143 7
373 127 100
325 59 60
289 219 19
120 123 100
500 2 1
387 377 48
500 149 4
115 193 33
4 41 5
264 122 98
44 350 83
207 352 72
147 106 85
30 225 80
150 338 75
52 197 52
416 391 83
351 422 78
484 429 18
207 429 28
190 296 16
129 407 23
196 454 48
295 120 20
493 471 59
500 285 6
216 428 41
450 328 83
361 101 82
280 391 69
39 137 13
363 190 21
465 477 70
276 4 15
10 458 3
322 251 43
315 300 1
419 152 18
350 339 57
108 118 87
80 348 63
158 106 40
243 352 24
346 72 52
378 470 20
358 193 9
110 464 73
287 107 7
338 18 41
28 145 13
448 325 6
360 50 13
220 118 3
486 127 1
282 298 51
103 50 70
251 423 29
416 442 77
409 451 62
469 5 41
59 422 23
275 223 62
173 69 77
359 481 60
178 416 11
229 433 97
278 36 4
216 88 64
497 32 79
247 262 49
408 335 5
325 327 26
423 12 71
300 124 41
52 74 29
441 450 91
358 214 95
180 249 4
140 144 61
94 324 26
433 234 6
417 365 23
463 40 61
444 330 85
200 158 38
209 169 23
384 408 7
84 3 27
43 213 45
236 313 67
170 64 76
406 310 30
165 385 44
132 404 35
349 8 5
95 331 77
208 45 58
379 368 75
189 13 22
407 404 57
19 370 74
413 426 77
102 7 67
16 195 86
454 285 62
326 149 95
306 198 22
266 227 63
225 416 93
265 496 25
4 353 17
269 267 47
347 147 79
252 359 20
387 38 68
143 144 38
333 386 63
122 281 97
310 497 22
427 475 40
277 30 62
238 292 5
60 455 43
461 30 50
21 2 73
44 6 54
392 67 40
131 169 46
373 408 81
3 184 23
270 138 53
345 151 56
14 340 63
406 46 96
108 37 73
449 288 58
80 284 100
56 211 31
300 113 57
344 430 42
446 125 87
153 439 91
82 141 68
328 319 27
38 440 87
44 156 65
96 65 98
385 219 21
224 274 25
13 119 53
467 41 8
117 184 61
15 72 51
158 10 13
345 194 84
294 297 81
165 355 22
15 19 41
316 13 82
498 120 75
117 487 81
174 474 45
286 496 69
465 396 43
369 186 37
434 137 18
291 365 12
184 91 59
138 440 75
264 14 78
126 412 37
463 36 67
106 147 30
144 357 53
116 422 94
386 300 80
369 210 78
240 482 34
33 103 85
19 174 11
454 48 91
141 81 54
428 89 19
34 306 15
445 100 97
120 83 43
294 298 11
300 303 29
63 330 9
432 79 98
399 316 33
219 391 21
142 374 11
353 403 89
81 480 80
145 197 71
123 103 77
151 287 73
360 281 85
87 55 63
418 436 77
406 146 20
136 350 15
495 5 25
377 159 31
32 408 51
310 368 71
320 99 49
218 479 80
125 336 47
404 173 71
488 460 64
430 156 96
150 491 26
229 200 16
119 210 92
478 14 60
498 277 85
166 374 99
82 110 69
405 477 20
49 234 88
331 72 87
476 155 70
474 200 28
88 290 52
41 407 5
201 20 81
14 494 18
369 173 27
384 183 15
357 146 29
448 208 19
10 179 56
225 449 51
352 240 38
271 71 45
86 484 44
300 410 17
164 387 56
319 225 19
314 262 5
234 206 44
349 293 21
443 329 13
271 21 1
159 127 48
132 457 54
466 398 24
42 15 93
451 258 50
474 129 86
315 59 68
67 89 21
443 376 82
