500 5000
28 450 29
126 366 45
21 101 28
125 144 45
441 436 91
375 143 97
402 428 69
159 105 40
116 494 97
153 48 75
200 197 51
355 283 57
314 205 43
404 148 74
425 380 51
436 378 3
103 1 41
174 346 41
46 87 17
332 363 96
280 382 72
391 283 79
117 19 82
378 228 68
137 69 9
310 98 39
283 70 6
470 452 93
350 178 95
435 216 1
394 26 52
388 50 85
222 480 9
295 156 40
398 18 72
146 487 88
484 400 21
172 358 63
272 12 74
462 454 10
35 59 47
277 15 82
451 419 70
482 404 82
470 128 67
420 180 8
219 132 91
318 493 26
263 387 29
213 123 46
184 59 35
209 287 26
203 108 75
180 494 59
340 294 24
256 359 63
409 12 50
196 135 84
223 203 21
323 1 39
417 463 92
447 4 59
32 301 49
17 290 74
78 203 29
449 292 88
247 435 83
310 441 61
2 368 47
231 440 87
78 92 39
5 349 76
438 55 9
231 301 9
134 388 93
413 394 72
222 386 78
258 334 62
281 474 72
362 384 15
390 467 54
359 368 10
137 309 96
126 74 50
467 321 67
28 469 2
499 90 11
11 364 49
316 54 62
90 365 24
253 34 15
338 331 11
442 489 15
484 291 51
426 354 41
348 239 10
414 350 1
228 267 37
412 320 10
183 64 81
411 363 89
338 125 14
345 394 49
484 473 92
228 35 31
169 93 22
63 117 34
146 374 99
346 344 39
404 178 40
126 84 44
191 447 1
435 155 99
299 349 85
128 330 80
470 16 66
105 124 3
383 442 14
468 29 10
37 124 73
191 234 56
170 103 87
41 81 84
427 389 85
267 452 48
195 445 95
97 208 14
488 493 22
227 201 4
290 426 21
37 428 89
141 175 87
488 322 81
92 164 34
294 90 84
169 26 59
427 101 99
234 437 40
346 287 1
93 498 48
103 365 15
184 89 100
206 196 91
202 415 46
480 5 93
243 401 22
78 86 62
382 84 16
345 13 94
195 168 46
437 68 23
40 232 95
98 196 38
45 245 95
76 429 34
204 6 13
25 265 44
5 382 39
312 250 65
144 49 40
141 175 79
354 312 93
123 22 83
437 297 39
11 223 62
97 262 66
486 434 41
367 309 6
93 130 32
129 416 20
373 139 47
123 61 77
118 305 18
292 238 13
73 216 76
471 67 9
3 391 54
206 248 9
138 38 47
380 85 35
38 186 13
248 143 48
337 379 29
130 481 1
344 264 64
424 332 38
358 344 38
491 366 35
247 84 64
126 78 98
217 166 45
108 118 30
240 360 90
481 360 74
319 336 83
375 435 25
105 91 93
291 57 47
356 353 11
107 303 87
201 365 10
195 296 85
293 350 60
461 483 12
181 83 17
353 397 52
328 159 91
307 67 26
289 81 47
478 119 74
324 439 98
327 263 47
281 122 83
250 325 44
219 467 83
409 26 64
301 128 96
158 220 53
126 361 41
181 351 58
207 58 40
245 156 47
470 5 10
11 92 56
397 449 44
124 469 97
352 30 42
117 248 89
168 272 82
21 434 1
251 247 53
159 458 93
192 348 36
1 457 37
21 228 45
113 212 99
456 349 39
140 268 62
422 85 47
351 170 71
71 225 12
416 106 96
451 153 94
326 200 30
410 119 72
53 38 68
22 142 23
480 53 85
271 311 32
267 403 8
438 1 15
219 322 41
258 266 22
407 240 25
440 147 42
461 157 72
240 439 33
277 302 32
91 305 17
408 489 82
476 34 45
95 500 87
476 442 41
470 245 43
296 246 10
374 440 1
393 204 71
306 176 67
178 334 72
388 42 66
401 366 41
327 469 3
257 258 35
305 455 51
255 107 64
37 424 2
425 266 86
209 298 29
464 494 41
246 117 75
497 64 66
3 117 84
73 333 13
7 489 13
184 411 43
487 362 11
47 313 56
456 375 13
95 224 41
95 437 23
439 144 58
180 119 40
197 55 40
450 182 43
458 479 99
34 227 94
143 163 85
209 500 10
115 24 89
438 68 95
157 151 47
128 220 90
183 194 96
493 268 47
192 371 65
42 136 36
50 264 41
366 208 43
146 133 29
432 237 35
187 247 15
292 481 37
74 249 89
152 59 74
196 369 74
156 199 98
470 225 40
161 238 86
387 19 66
431 61 86
235 337 52
112 63 43
130 132 50
45 293 27
342 371 31
207 410 57
344 433 14
74 465 74
416 194 80
461 463 48
246 423 47
164 249 99
166 412 8
69 398 48
452 61 74
31 83 50
410 282 29
12 217 89
22 354 47
235 153 8
51 123 48
173 461 14
468 466 48
435 362 98
442 40 81
384 428 78
176 452 19
489 497 30
403 392 62
131 283 15
232 88 52
122 223 25
227 317 93
288 206 90
160 152 1
309 39 92
393 420 88
452 214 19
461 402 41
302 206 51
116 37 16
463 104 48
340 493 9
133 441 37
34 92 5
36 192 72
207 76 76
169 274 31
222 68 3
325 268 74
443 98 73
36 373 3
197 65 92
349 472 20
61 497 76
181 24 78
297 14 63
473 250 93
76 464 57
214 252 86
100 94 76
188 49 78
140 386 79
437 194 92
41 266 19
319 302 89
65 455 20
423 47 90
85 185 46
108 17 85
57 394 78
28 300 73
433 252 52
318 154 31
273 222 18
81 298 32
146 181 82
201 400 35
481 192 59
213 379 5
176 321 13
199 387 89
352 260 38
435 324 21
191 456 83
364 289 13
492 267 42
253 158 20
364 352 21
304 366 9
76 298 57
500 170 42
125 47 75
17 316 98
488 442 77
270 139 63
245 329 36
166 445 64
314 139 22
498 19 53
447 432 39
44 62 91
39 3 60
255 127 32
172 497 84
431 125 57
71 248 59
196 52 75
457 80 76
128 15 28
312 144 10
455 294 21
38 496 61
377 476 31
402 196 7
137 31 81
496 313 79
40 7 59
98 420 88
161 197 97
300 128 44
367 461 56
65 260 27
137 178 9
367 46 93
160 336 61
15 265 97
314 186 61
303 357 34
199 432 60
286 213 75
442 254 95
74 279 26
255 445 7
437 177 43
158 152 31
148 214 99
417 63 83
216 89 72
411 247 5
448 279 35
244 262 39
378 218 45
1 45 57
488 388 63
151 371 56
361 217 40
307 368 67
347 455 20
271 298 66
210 88 53
22 496 98
167 306 46
286 207 54
312 471 44
222 152 61
274 380 77
201 476 83
88 289 7
210 381 99
123 187 10
10 287 26
279 95 61
419 118 4
272 300 10
371 215 59
17 388 49
269 154 95
218 42 92
103 361 31
256 174 52
168 118 21
354 243 28
430 172 3
41 269 85
102 330 43
127 68 25
364 119 8
1 459 12
159 200 2
357 17 75
177 325 36
464 24 77
408 159 66
106 310 29
48 490 35
439 172 67
108 152 49
20 305 21
405 455 83
259 153 87
380 365 12
429 167 38
399 457 84
211 312 9
288 70 35
317 18 86
267 367 86
115 367 100
123 141 99
325 13 86
219 139 3
128 415 65
373 177 78
460 369 45
80 118 75
499 338 29
68 105 9
128 485 72
394 212 31
26 39 56
500 467 25
30 163 53
125 410 78
406 203 25
28 136 6
291 47 55
438 431 16
2 448 3
330 251 25
47 487 34
425 223 20
489 343 70
44 285 78
467 11 54
312 53 6
141 491 18
364 423 13
427 490 9
307 456 76
357 427 62
206 148 19
380 292 79
464 481 49
117 356 10
29 220 78
70 497 95
168 206 55
412 367 25
107 195 12
339 151 51
61 26 33
489 146 12
458 30 81
274 82 65
195 266 62
414 178 42
148 474 23
308 176 42
490 15 23
1 39 65
269 143 13
410 435 92
389 41 84
12 239 18
180 413 87
5 458 56
184 420 34
128 357 77
431 485 34
24 258 94
179 194 44
202 392 42
417 445 93
321 207 45
286 280 79
303 128 54
206 38 29
263 328 34
289 482 96
248 294 99
467 84 28
417 370 40
9 275 34
393 318 66
426 199 65
144 350 100
287 176 49
488 287 13
119 439 52
490 215 8
213 368 43
372 85 25
105 6 94
127 3 20
77 192 41
173 487 30
328 408 84
403 31 14
494 368 86
427 464 2
248 252 21
214 239 93
302 345 93
44 186 18
279 87 28
251 289 65
149 495 26
326 154 36
398 292 96
76 218 81
89 37 15
316 426 83
279 46 33
69 325 33
171 119 27
142 478 90
353 386 97
485 330 17
246 454 87
374 53 33
147 218 24
221 18 5
180 179 79
145 188 84
158 120 73
346 471 54
11 100 49
156 178 72
89 185 58
352 181 19
309 132 39
198 178 71
489 418 27
118 11 28
354 213 50
493 135 56
69 385 99
480 113 62
100 76 64
181 121 33
479 341 93
296 426 10
298 340 18
405 56 88
350 7 82
125 23 80
12 132 25
154 476 46
187 304 16
49 14 44
264 377 76
475 463 34
310 253 24
131 344 4
436 188 79
261 130 20
277 44 60
278 258 95
108 270 10
181 273 32
458 252 20
22 35 53
59 197 73
211 409 19
355 213 85
59 293 81
44 482 2
308 71 37
225 381 6
126 131 59
459 378 92
400 375 88
240 117 4
464 430 13
190 480 41
335 36 24
95 309 43
390 48 46
376 238 95
69 62 3
75 379 79
145 152 18
155 9 63
181 335 32
56 5 47
449 258 65
454 106 85
100 87 16
289 499 8
333 170 44
102 430 63
47 308 48
24 64 64
53 214 34
179 150 82
6 237 73
292 104 10
65 223 57
156 288 47
47 418 90
457 98 54
463 59 56
139 174 4
64 405 66
334 45 26
243 308 53
100 25 32
435 156 45
142 55 4
414 329 1
410 72 32
249 342 95
256 120 33
169 335 12
144 128 94
32 224 7
299 32 76
113 45 14
252 403 90
172 365 69
478 494 57
438 208 16
311 404 98
348 448 82
451 341 83
473 91 80
99 359 96
352 397 54
11 236 11
210 13 98
24 33 80
283 449 17
279 350 6
484 192 21
187 108 60
318 16 32
500 6 86
151 377 14
223 83 8
94 394 65
31 206 53
284 39 84
282 34 7
475 293 29
402 221 60
17 433 38
44 243 87
132 447 65
12 488 50
98 296 48
357 135 77
159 44 59
111 283 72
478 59 98
368 321 57
434 388 82
249 294 88
221 436 30
19 125 53
6 177 70
220 293 87
275 288 67
444 239 53
472 354 51
27 8 40
373 197 64
58 192 75
414 147 80
42 31 39
90 59 64
211 34 99
423 467 18
294 176 41
306 478 35
397 229 37
349 316 78
154 175 100
462 202 53
162 20 28
484 43 9
84 95 74
223 278 8
22 71 34
349 86 57
168 460 25
454 300 32
155 305 57
451 296 58
97 480 23
24 141 93
434 17 40
43 349 40
113 250 82
76 247 71
191 267 32
37 466 47
83 161 43
352 374 67
26 80 85
104 319 76
230 492 40
210 115 81
322 403 67
490 51 71
123 206 56
481 179 55
395 301 55
41 443 93
239 21 65
4 147 50
392 477 68
312 126 16
209 395 43
215 441 17
329 130 67
65 426 28
170 39 46
340 433 36
266 79 40
47 74 47
229 442 98
397 409 5
163 113 73
270 305 1
481 208 61
445 317 14
294 401 11
466 152 28
443 23 22
372 134 61
402 255 14
310 168 89
303 194 51
81 305 6
270 325 73
177 259 26
469 244 72
19 491 93
390 89 100
349 110 54
181 240 51
56 432 39
277 327 68
327 328 39
96 491 26
346 303 47
407 455 69
10 23 31
220 434 43
459 281 25
365 480 25
210 197 44
282 398 38
494 30 85
444 290 52
78 381 55
454 391 86
256 317 36
469 318 62
392 276 42
231 404 95
414 155 55
325 500 1
220 43 88
9 188 44
430 44 79
146 492 4
488 186 81
342 409 34
437 432 32
217 414 17
422 29 1
492 112 36
184 50 88
385 56 7
240 11 2
478 97 9
206 166 38
330 180 52
172 94 60
125 203 34
297 8 97
310 115 38
437 374 16
59 93 29
343 392 92
476 256 28
77 260 73
200 82 45
246 390 99
125 467 15
286 447 74
447 346 49
97 10 32
73 105 92
474 419 50
175 387 79
102 468 64
330 497 97
154 238 32
382 96 54
153 203 95
301 89 40
387 497 91
53 399 25
254 7 32
294 256 75
292 296 4
46 241 92
288 43 78
497 82 25
23 423 67
111 386 17
472 392 51
401 220 18
122 6 38
221 28 34
437 128 28
304 166 73
498 75 50
179 59 45
38 256 76
110 455 38
15 194 74
325 375 21
15 411 47
70 301 88
481 299 79
431 492 51
253 295 78
244 403 65
43 158 58
185 385 63
81 67 92
455 321 84
306 18 46
269 239 15
22 107 5
302 335 80
430 215 14
346 267 30
203 260 64
393 452 76
167 37 17
327 262 71
386 416 99
408 242 92
147 31 56
426 133 38
432 422 27
460 214 61
339 307 43
483 190 31
218 305 76
444 291 18
455 357 7
334 9 95
106 223 46
356 275 7
484 123 24
245 179 99
267 133 58
299 339 23
238 304 63
230 422 37
384 297 65
317 155 88
285 123 46
54 159 47
75 306 83
387 235 12
4 38 78
135 114 86
351 270 58
115 352 34
330 142 9
247 358 92
235 135 96
145 47 90
243 326 1
447 26 43
253 8 12
440 180 51
451 57 35
85 469 21
317 407 19
212 392 84
425 243 33
273 22 70
177 173 75
52 79 96
315 145 51
238 465 60
211 96 7
248 164 16
281 327 82
213 91 14
403 21 20
391 474 31
257 95 82
91 5 50
395 38 51
212 349 3
434 325 50
141 168 74
196 148 63
489 265 89
422 17 30
221 321 17
350 389 19
413 170 90
135 93 94
272 236 80
218 250 68
62 488 29
21 117 46
189 211 60
17 220 14
403 420 6
271 51 26
361 359 5
218 169 43
72 256 28
278 13 11
342 299 87
240 78 81
416 314 5
439 145 74
24 480 33
203 16 73
203 492 39
130 42 32
255 235 21
398 100 17
292 388 35
379 327 62
469 465 4
301 458 8
302 286 21
197 22 56
269 72 73
389 346 67
321 343 34
336 418 85
244 356 70
496 245 78
357 283 70
44 461 53
468 172 72
86 100 53
25 359 76
63 333 36
171 148 79
326 149 8
293 374 12
200 320 91
62 489 60
273 307 72
387 29 22
396 64 62
492 88 92
153 261 3
489 491 28
357 423 71
87 294 49
63 226 2
475 170 68
391 54 43
437 487 63
404 97 34
218 286 82
82 458 16
274 6 58
86 293 24
195 351 57
477 270 9
215 77 11
346 452 89
54 304 58
70 141 41
203 146 2
33 314 49
226 96 88
258 410 57
420 277 99
410 82 87
16 272 96
367 214 73
145 405 11
276 487 31
341 67 20
245 113 66
193 322 9
124 195 75
445 194 30
391 148 92
154 439 44
346 458 59
193 84 13
192 37 49
435 332 48
211 407 86
404 215 29
12 1 12
293 246 43
500 281 82
379 463 36
61 417 68
195 478 81
217 37 93
379 436 10
376 411 77
1 36 30
37 253 78
288 456 33
469 6 90
54 448 47
141 45 52
252 243 98
46 286 76
13 239 69
92 460 65
41 331 93
262 8 69
25 205 13
391 44 84
16 424 77
420 175 100
202 163 85
405 390 82
267 427 42
159 243 69
478 243 49
320 234 7
131 500 69
387 493 95
415 6 18
269 24 51
153 278 81
418 334 20
259 118 8
291 390 41
145 124 46
214 206 44
397 178 76
285 92 73
291 37 82
222 310 3
226 391 58
210 497 96
304 33 85
110 260 52
287 479 95
58 28 95
407 300 70
444 173 13
165 225 31
210 244 52
408 290 45
121 211 32
262 6 75
132 301 92
309 375 92
442 302 86
12 46 52
13 494 7
288 32 18
145 115 93
423 238 100
362 94 19
473 230 79
150 350 83
365 309 27
186 239 42
463 244 1
357 65 62
244 422 9
256 115 22
277 356 95
500 362 28
375 221 84
32 446 17
54 271 62
47 359 98
359 192 77
264 356 77
195 101 83
52 146 4
51 453 16
349 375 9
230 378 16
212 334 79
44 420 65
371 114 99
478 471 19
246 377 15
272 392 39
304 332 36
347 62 5
411 151 74
157 368 40
409 138 99
344 234 32
29 135 81
160 483 68
381 404 83
38 289 81
80 46 40
381 347 97
336 404 18
376 201 33
469 172 58
21 450 8
324 54 78
280 386 68
283 397 100
239 448 17
439 178 40
481 296 74
315 368 13
47 249 86
60 9 78
163 175 33
162 389 4
176 352 96
371 305 80
296 106 71
407 322 20
468 231 75
196 478 34
215 69 79
85 38 92
273 388 29
432 189 49
408 221 88
50 92 97
399 446 12
15 446 100
417 253 83
281 489 99
326 111 28
264 223 67
175 442 61
459 360 29
140 109 100
413 229 61
40 363 100
382 277 74
119 217 60
61 114 17
178 228 38
4 268 65
80 78 1
346 260 82
254 123 85
495 319 84
432 337 23
412 48 8
268 244 78
157 143 66
101 263 35
358 169 23
433 422 76
304 436 43
13 365 74
8 183 52
422 257 97
500 345 28
486 48 100
179 452 74
361 248 74
258 174 53
110 54 68
327 431 68
416 2 79
456 171 42
153 400 2
466 267 33
495 151 28
122 175 51
299 183 40
301 1 81
397 274 81
472 152 38
275 290 85
302 14 46
15 445 47
82 453 16
233 130 24
475 388 32
385 2 34
186 52 42
135 222 52
358 152 27
353 153 32
60 490 84
117 342 62
121 91 91
64 258 11
294 103 40
429 467 13
403 325 94
379 272 60
259 95 92
332 406 48
401 45 14
163 100 71
9 395 20
42 263 81
361 247 39
400 159 51
249 304 61
489 35 36
84 259 91
249 500 15
269 353 58
73 32 32
126 6 71
188 71 67
258 276 88
188 319 96
40 331 72
80 235 26
38 160 2
57 97 59
356 66 25
240 301 9
321 199 81
177 190 54
266 255 26
399 115 20
179 250 32
341 214 26
9 381 33
455 224 30
160 492 96
312 349 86
273 232 40
388 486 7
304 336 10
234 350 25
446 288 46
408 38 59
138 95 32
460 498 91
419 264 57
355 390 59
169 339 80
358 152 40
100 53 19
7 257 31
127 339 62
497 51 33
71 198 92
12 442 72
34 392 33
89 77 48
477 149 3
159 500 46
55 33 17
330 215 74
484 185 68
170 51 97
71 206 88
331 43 74
321 81 94
377 469 59
478 164 50
348 62 81
411 250 17
335 462 47
342 262 13
300 322 30
46 240 43
73 271 41
343 478 15
393 284 45
253 124 2
151 280 69
313 392 77
102 104 100
300 93 55
422 284 2
276 275 23
56 217 90
402 115 58
380 168 32
208 120 39
227 156 97
463 146 83
307 120 54
269 352 41
16 271 1
364 26 6
21 45 89
69 478 81
443 180 86
129 48 70
78 148 76
500 290 91
249 31 60
394 389 99
355 494 27
114 330 62
212 175 19
152 453 27
489 86 84
265 295 97
250 239 60
73 67 21
185 261 84
62 161 84
136 247 56
108 78 60
352 78 14
133 456 81
234 180 77
132 67 3
325 5 57
424 126 4
388 333 95
70 83 93
269 394 94
90 155 11
376 382 2
102 90 75
345 371 46
55 171 95
40 172 45
341 295 53
317 169 65
107 214 36
17 461 35
314 161 94
52 181 9
234 187 44
330 449 65
465 303 9
26 50 6
420 439 85
427 336 94
108 9 4
451 239 29
352 175 67
269 453 33
499 43 63
419 239 88
71 454 33
39 191 1
24 427 2
303 436 43
391 372 77
127 463 25
293 62 63
431 412 82
160 153 92
260 428 25
35 395 4
258 110 1
290 47 45
32 445 38
46 87 71
57 430 91
365 173 83
6 483 78
125 349 48
116 129 96
351 404 47
74 118 77
401 421 91
496 233 47
154 230 42
372 163 98
354 119 24
208 172 99
358 418 38
466 106 46
38 158 41
332 327 29
247 298 46
114 486 69
357 109 32
223 156 86
218 24 66
347 175 17
178 297 86
258 213 46
389 461 91
108 56 24
369 11 47
382 25 47
320 426 65
33 274 12
491 462 77
291 374 2
209 67 31
486 136 76
266 351 87
113 308 13
397 363 29
159 303 23
77 455 23
170 118 27
471 318 75
170 388 62
108 259 10
359 151 12
243 115 71
465 72 68
58 53 59
462 326 41
480 368 77
324 328 4
334 489 33
414 254 55
175 316 45
49 32 80
330 220 73
393 233 56
272 168 36
320 222 80
16 56 51
483 324 59
113 427 64
357 265 1
147 8 73
480 201 4
202 179 63
78 212 6
447 334 27
353 350 39
271 81 69
440 307 53
173 358 100
309 479 68
292 10 16
82 435 100
64 278 94
154 360 86
62 81 8
153 391 89
305 395 1
112 91 52
393 498 57
244 256 87
305 314 72
435 79 73
333 490 28
128 300 4
313 330 35
66 407 36
477 93 82
372 144 92
402 401 42
138 220 30
405 9 39
285 246 40
163 419 57
310 87 56
488 138 24
241 224 1
308 14 74
163 274 83
81 342 40
363 219 40
210 452 19
412 222 77
192 492 8
55 103 82
401 429 18
382 209 41
284 349 43
9 335 78
372 440 93
92 156 69
416 48 99
471 155 27
476 4 77
66 252 7
154 259 54
453 70 27
479 243 90
80 377 99
281 234 16
131 436 59
132 248 79
379 464 60
7 253 16
29 184 84
161 202 76
372 35 61
453 304 6
190 5 71
425 420 55
221 347 68
470 215 69
318 141 13
165 318 84
321 161 38
224 5 24
356 144 54
240 180 97
109 8 95
114 321 51
282 378 65
343 206 98
88 152 23
417 497 17
453 294 44
39 372 34
316 121 64
167 238 2
272 210 76
22 296 37
435 106 5
336 208 47
421 100 65
81 84 9
349 373 48
368 482 4
492 470 71
79 15 68
103 34 54
123 320 75
249 112 20
294 171 66
421 37 20
238 63 2
389 445 57
491 474 33
481 3 57
18 244 39
424 187 78
46 173 48
340 28 15
359 92 71
237 304 87
137 339 72
394 117 38
262 442 91
87 100 4
478 88 39
286 241 19
294 359 25
245 331 55
41 401 99
10 276 6
86 243 91
235 86 52
53 155 98
294 319 88
314 304 43
296 250 10
412 396 94
385 147 100
189 241 3
74 91 99
161 110 26
498 47 47
73 248 60
5 418 55
303 113 34
236 205 48
375 464 73
133 496 70
87 33 82
151 153 74
109 39 77
100 154 7
304 271 70
92 446 31
247 217 9
242 2 87
271 364 16
22 425 79
450 441 97
35 471 42
424 143 96
316 286 19
226 294 5
106 335 35
321 57 68
144 426 49
357 497 1
474 314 90
172 192 12
133 85 72
356 121 39
295 460 40
185 323 9
161 261 26
17 104 13
290 161 69
100 20 14
355 126 4
461 297 29
146 402 2
404 64 35
32 363 77
310 296 38
188 116 54
281 435 71
80 180 38
269 462 55
193 368 82
280 59 35
428 459 39
83 379 41
293 380 9
128 314 65
55 103 100
349 148 97
187 156 79
125 485 39
418 213 43
223 218 58
116 58 60
317 448 35
146 281 89
337 156 14
479 386 79
229 241 13
311 138 50
263 279 59
2 290 8
190 39 77
71 86 15
345 222 4
476 261 21
490 484 45
459 303 24
465 161 59
433 24 66
347 225 73
391 418 33
448 122 92
118 41 82
240 389 25
397 296 58
6 474 39
372 297 81
171 240 12
243 372 66
449 314 64
96 469 97
131 217 54
82 353 27
408 125 28
223 360 55
174 480 86
1 337 54
332 418 27
121 22 24
457 355 16
234 177 26
308 330 6
294 125 96
171 249 75
434 289 46
148 272 96
157 286 8
289 115 91
92 74 5
341 143 67
423 334 42
328 43 34
104 13 72
273 266 17
468 470 28
340 163 62
157 390 4
45 140 14
278 438 63
293 388 98
123 76 19
495 64 48
41 217 6
126 136 99
472 398 95
219 278 22
262 16 44
298 120 38
436 270 87
424 331 36
334 347 88
298 315 63
82 62 66
19 453 82
237 65 52
78 107 57
459 277 31
75 399 41
66 34 46
260 194 1
288 294 24
59 456 61
374 429 27
267 422 11
228 129 68
401 227 55
179 54 37
250 316 22
319 164 31
76 261 31
326 214 16
363 459 54
290 32 29
140 116 19
402 38 66
207 298 48
321 370 84
48 317 68
463 174 83
283 101 20
230 209 43
396 496 87
313 18 9
297 210 74
165 124 13
136 279 71
454 106 64
496 448 82
159 255 76
390 429 71
48 95 71
121 7 11
500 336 27
177 232 39
277 259 98
407 444 23
374 280 4
18 457 74
211 175 54
183 59 23
461 136 11
262 306 84
410 107 97
457 24 45
225 381 44
190 394 92
2 275 68
96 53 61
262 101 14
90 430 3
99 207 61
476 331 65
40 149 73
236 332 13
103 30 19
36 31 64
193 12 29
284 250 11
210 222 23
355 5 58
161 481 17
127 462 81
317 115 91
267 403 89
178 461 92
113 12 81
264 69 25
59 442 50
29 112 51
46 192 69
2 174 44
101 287 76
301 418 92
91 123 54
120 355 78
329 269 86
255 55 33
162 472 23
78 100 93
119 365 99
431 479 85
426 200 25
21 94 4
166 244 53
426 238 23
71 423 98
269 270 5
97 291 6
223 482 7
1 27 40
281 127 36
417 340 85
181 24 91
121 255 19
477 208 79
9 441 59
201 279 41
368 405 26
1 206 30
474 315 96
340 348 66
175 158 93
422 492 62
126 110 62
56 486 11
380 67 91
264 463 16
186 26 55
310 352 35
450 352 83
468 279 72
372 468 7
180 148 96
261 229 75
409 404 3
282 50 93
467 32 63
460 307 53
132 216 5
343 100 44
1 318 28
53 404 24
273 254 76
42 195 6
467 308 62
186 40 45
75 343 21
222 338 11
432 465 12
10 320 20
200 210 63
236 165 2
265 13 80
42 444 77
328 256 72
106 389 34
449 204 80
17 406 90
327 36 92
258 119 70
401 417 2
288 142 47
290 135 96
375 218 84
424 65 24
136 450 46
210 317 52
412 375 31
241 286 39
43 468 100
425 232 86
178 196 3
330 308 69
68 487 52
35 276 54
365 291 91
189 25 82
236 20 65
90 34 48
407 54 17
425 303 47
356 373 63
402 222 78
45 342 14
487 78 8
370 174 18
12 230 78
280 452 99
215 205 63
496 253 37
135 441 4
20 198 3
258 124 43
340 316 27
26 37 71
143 470 73
458 12 95
381 279 75
366 233 53
473 55 63
156 481 63
42 17 28
357 217 60
358 410 52
325 127 13
249 121 82
330 254 19
263 273 90
359 362 89
404 397 39
83 259 94
116 339 21
326 12 54
483 280 31
77 60 17
228 110 32
83 216 83
321 304 13
193 411 3
253 210 38
69 204 79
335 300 33
448 40 78
352 121 9
394 142 71
429 135 24
382 237 33
240 146 76
307 2 83
269 63 100
333 423 88
213 304 79
9 404 75
125 41 31
37 404 24
242 492 91
281 65 86
137 395 65
418 449 56
238 171 68
445 229 94
443 382 11
26 433 89
3 183 28
422 304 10
42 399 18
489 383 18
132 14 55
308 360 11
381 138 83
250 1 69
449 153 53
4 473 39
20 448 84
451 70 21
230 95 19
52 326 32
371 155 18
457 122 85
370 283 39
275 140 22
130 493 84
172 5 74
